x,lambdaTime_1e-05,lambdaRate_1e-05,lambda
-5e+06,NaN,NaN,2.1674e-42
-4.9805e+06,NaN,NaN,3.0447e-42
-4.9609e+06,NaN,NaN,4.8438e-42
-4.9414e+06,NaN,NaN,8.2302e-42
-4.9219e+06,NaN,NaN,1.4441e-41
-4.9023e+06,NaN,NaN,2.5707e-41
-4.8828e+06,NaN,NaN,4.6034e-41
-4.8633e+06,NaN,NaN,8.2613e-41
-4.8438e+06,NaN,NaN,1.4834e-40
-4.8242e+06,NaN,NaN,2.6631e-40
-4.8047e+06,NaN,NaN,4.779e-40
-4.7852e+06,NaN,NaN,8.5713e-40
-4.7656e+06,NaN,NaN,1.5364e-39
-4.7461e+06,NaN,NaN,2.7521e-39
-4.7266e+06,NaN,NaN,4.9267e-39
-4.707e+06,NaN,NaN,8.8138e-39
-4.6875e+06,NaN,NaN,1.5758e-38
-4.668e+06,NaN,NaN,2.8153e-38
-4.6484e+06,NaN,NaN,5.0267e-38
-4.6289e+06,NaN,NaN,8.9691e-38
-4.6094e+06,NaN,NaN,1.5993e-37
-4.5898e+06,NaN,NaN,2.8497e-37
-4.5703e+06,NaN,NaN,5.0745e-37
-4.5508e+06,NaN,NaN,9.0299e-37
-4.5313e+06,NaN,NaN,1.6057e-36
-4.5117e+06,NaN,NaN,2.8534e-36
-4.4922e+06,NaN,NaN,5.0671e-36
-4.4727e+06,NaN,NaN,8.9919e-36
-4.4531e+06,NaN,NaN,1.5945e-35
-4.4336e+06,NaN,NaN,2.8256e-35
-4.4141e+06,NaN,NaN,5.0036e-35
-4.3945e+06,NaN,NaN,8.854e-35
-4.375e+06,NaN,NaN,1.5656e-34
-4.3555e+06,NaN,NaN,2.7664e-34
-4.3359e+06,NaN,NaN,4.8847e-34
-4.3164e+06,NaN,NaN,8.6186e-34
-4.2969e+06,NaN,NaN,1.5195e-33
-4.2773e+06,NaN,NaN,2.6771e-33
-4.2578e+06,NaN,NaN,4.713e-33
-4.2383e+06,NaN,NaN,8.291e-33
-4.2188e+06,NaN,NaN,1.4574e-32
-4.1992e+06,NaN,NaN,2.5599e-32
-4.1797e+06,NaN,NaN,4.4931e-32
-4.1602e+06,NaN,NaN,7.88e-32
-4.1406e+06,NaN,NaN,1.3809e-31
-4.1211e+06,NaN,NaN,2.4181e-31
-4.1016e+06,NaN,NaN,4.231e-31
-4.082e+06,NaN,NaN,7.3971e-31
-4.0625e+06,NaN,NaN,1.2922e-30
-4.043e+06,NaN,NaN,2.2556e-30
-4.0234e+06,NaN,NaN,3.9341e-30
-4.0039e+06,NaN,NaN,6.8559e-30
-3.9844e+06,NaN,NaN,1.1938e-29
-3.9648e+06,NaN,NaN,2.0771e-29
-3.9453e+06,NaN,NaN,3.6108e-29
-3.9258e+06,NaN,NaN,6.2719e-29
-3.9063e+06,NaN,NaN,1.0885e-28
-3.8867e+06,NaN,NaN,1.8875e-28
-3.8672e+06,NaN,NaN,3.2702e-28
-3.8477e+06,NaN,NaN,5.6611e-28
-3.8281e+06,NaN,NaN,9.7914e-28
-3.8086e+06,NaN,NaN,1.692e-27
-3.7891e+06,NaN,NaN,2.9215e-27
-3.7695e+06,NaN,NaN,5.0397e-27
-3.75e+06,NaN,NaN,8.6862e-27
-3.7305e+06,NaN,NaN,1.4958e-26
-3.7109e+06,NaN,NaN,2.5734e-26
-3.6914e+06,NaN,NaN,4.4234e-26
-3.6719e+06,NaN,NaN,7.5965e-26
-3.6523e+06,NaN,NaN,1.3034e-25
-3.6328e+06,NaN,NaN,2.2342e-25
-3.6133e+06,NaN,NaN,3.8263e-25
-3.5938e+06,NaN,NaN,6.5467e-25
-3.5742e+06,NaN,NaN,1.1191e-24
-3.5547e+06,NaN,NaN,1.9111e-24
-3.5352e+06,NaN,NaN,3.2604e-24
-3.5156e+06,NaN,NaN,5.5572e-24
-3.4961e+06,NaN,NaN,9.4628e-24
-3.4766e+06,NaN,NaN,1.6097e-23
-3.457e+06,NaN,NaN,2.7356e-23
-3.4375e+06,NaN,NaN,4.6444e-23
-3.418e+06,NaN,NaN,7.8771e-23
-3.3984e+06,NaN,NaN,1.3346e-22
-3.3789e+06,NaN,NaN,2.259e-22
-3.3594e+06,NaN,NaN,3.8197e-22
-3.3398e+06,NaN,NaN,6.4519e-22
-3.3203e+06,NaN,NaN,1.0887e-21
-3.3008e+06,NaN,NaN,1.835e-21
-3.2813e+06,NaN,NaN,3.0899e-21
-3.2617e+06,NaN,NaN,5.1971e-21
-3.2422e+06,NaN,NaN,8.7322e-21
-3.2227e+06,NaN,NaN,1.4656e-20
